symbol,Last,$ Chg,% Chg,Bid,Ask,Volume,Quantity,Price,$ Total G/L,% Total G/L,Value,Basis,Day Range,52W Range,Earnings Date,Div Amt,Div Ex-Date
UGL,52.97,-0.25,-0.47,52.72,53.15,"2,072,300",100,52.4354,53.46,1.02,"5,297.00","5,243.54",52.55-53.46,22.62-58.75,--,0.00,--
IAU,78.95,-0.19,-0.24,78.8,79.07,"6,331,031",100,77.94,101.00,1.30,"7,895.00","7,794.00",78.64-79.30,48.82-82.55,--,0.00,--
IYR,94.65,-0.82,-0.86,94.24,95.91,"7,613,387",100,97.39,-274.00,-2.81,"9,465.00","9,739.00",94.61-95.44,81.53-100.22,--,0.615,Sep-16-2025
VXUS,75.22,-0.16,-0.21,75.35,75.42,"5,102,315",100,74.7,52.00,0.70,"7,522.00","7,470.00",75.06-75.52,54.98-75.89,--,0.3597,Sep-19-2025
XLY,117.99,-1.74,-1.45,117.49,119,"6,400,205",100,239.93,"-12,194.00",-50.82,"11,799.00","23,993.00",117.75-119.36,86.55-121.70,--,0.2127,Sep-22-2025
AIA,97.295,0.355,0.37,94.1,99,"57,022",0,0,--,--,0.00,--,96.84-97.45,59.91-101.22,--,0.816,Jun-16-2025
VWO,54.20,-0.20,-0.37,54.13,54.5,"10,205,974",0,0,--,--,0.00,--,54.06-54.37,39.53-56.04,--,0.2795,Sep-19-2025
VXUS,75.22,-0.16,-0.21,75.35,75.42,"5,102,315",0,0,--,--,0.00,--,75.06-75.52,54.98-75.89,--,0.3597,Sep-19-2025
VEA,61.91,-0.13,-0.21,61.9,61.94,"13,576,972",0,0,--,--,0.00,--,61.82-62.17,45.14-62.32,--,0.2865,Sep-19-2025
MCHI,62.22,-0.44,-0.70,61.8,62.4,"2,696,194",0,0,--,--,0.00,--,61.94-62.29,43.70-67.37,--,0.5356,Jun-16-2025
FBTC,79.14,1.27,1.63,78.77,78.86,"3,899,481",0,0,--,--,0.00,--,78.10-79.98,66.06-110.25,--,0.00,--
IBIT,51.52,0.83,1.64,51.26,51.3,"43,121,846",0,0,--,--,0.00,--,50.83-52.06,42.98-71.82,--,0.00,--
URA,47.81,-0.11,-0.23,47.53,48.25,"2,518,420",100,44.75,306.00,6.84,"4,781.00","4,475.00",47.32-48.38,19.50-60.50,--,0.7414,Dec-30-2024
UUP,28.12,0.04,0.14,28.02,28.16,"1,143,415",0,0,--,--,0.00,--,28.08-28.16,26.80-30.69,--,1.3171,Dec-23-2024
VGT,774.68,6.71,0.87,776.01,777.9,"387,287",0,0,--,--,0.00,--,770.58-777.75,451.00-806.99,--,0.8586,Sep-24-2025
SLV,52.71,-0.24,-0.45,52.6,52.64,"19,711,177",100,51.76,95.00,1.84,"5,271.00","5,176.00",52.26-52.96,26.19-53.82,--,0.00,--